review,sentiment,clean_review
too bad none of it is funny .,0,bad none funny
overcomes its visual hideousness with a sharp script and strong performances .,1,overcomes visual hideousness sharp script strong performance
"there 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a hollywood career , if they want one .",1,conversion effort much writing genuinely witty star appealing enough probably good shot hollywood career want one
"yet in its own aloof , unreachable way it 's so fascinating you wo n't be able to look away for a second .",1,yet aloof unreachable way fascinating wo nt able look away second
this film puts wang at the forefront of china 's sixth generation of film makers .,1,film put wang forefront china sixth generation film maker
a sobering and powerful documentary about the most severe kind of personal loss : rejection by one 's mother .,1,sobering powerful documentary severe kind personal loss rejection one mother
"like the full monty , this is sure to raise audience 's spirits and leave them singing long after the credits roll .",1,like full monty sure raise audience spirit leave singing long credit roll
"i have always appreciated a smartly written motion picture , and , whatever flaws igby goes down may possess , it is undeniably that .",1,always appreciated smartly written motion picture whatever flaw igby go may possess undeniably
"-lrb- n -rrb- o matter how much good will the actors generate , showtime eventually folds under its own thinness .",1,lrb n rrb matter much good actor generate showtime eventually fold thinness
not many movies have that kind of impact on me these days .,1,many movie kind impact day
"after sitting through this sloppy , made-for-movie comedy special , it makes me wonder if lawrence hates criticism so much that he refuses to evaluate his own work .",1,sitting sloppy madeformovie comedy special make wonder lawrence hate criticism much refuse evaluate work
"texan director george ratliff had unlimited access to families and church meetings , and he delivers fascinating psychological fare .",1,texan director george ratliff unlimited access family church meeting delivers fascinating psychological fare
"obviously , a lot of people wasted a lot of their time -lrb- including mine -rrb- on something very inconsequential .",1,obviously lot people wasted lot time lrb including mine rrb something inconsequential
should have gone straight to video .,1,gone straight video
maryam is more timely now than ever .,1,maryam timely ever
koepp 's screenplay is n't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own .,1,koepp screenplay nt nearly surprising clever enough sustain reasonable degree suspense
it deserves to be seen everywhere .,1,deserves seen everywhere
"a timely look back at civil disobedience , anti-war movements and the power of strong voices .",1,timely look back civil disobedience antiwar movement power strong voice
"you do n't need to know your ice-t 's from your cool-j 's to realize that as far as these shootings are concerned , something is rotten in the state of california .",1,nt need know icet coolj realize far shooting concerned something rotten state california
by turns very dark and very funny .,1,turn dark funny
completely awful iranian drama ... as much fun as a grouchy ayatollah in a cold mosque .,0,completely awful iranian drama much fun grouchy ayatollah cold mosque
"suspend your disbelief here and now , or you 'll be shaking your head all the way to the credits .",0,suspend disbelief shaking head way credit
nothing more than four or five mild chuckles surrounded by 86 minutes of overly-familiar and poorly-constructed comedy .,1,nothing four five mild chuckle surrounded minute overlyfamiliar poorlyconstructed comedy
uneven but a lot of fun .,1,uneven lot fun
the satire is just too easy to be genuinely satisfying .,1,satire easy genuinely satisfying
"the biggest problem i have -lrb- other than the very sluggish pace -rrb- is we never really see her esther blossom as an actress , even though her talent is supposed to be growing .",1,biggest problem lrb sluggish pace rrb never really see esther blossom actress even though talent supposed growing
"... it 's as comprehensible as any dummies guide , something even non-techies can enjoy .",1,comprehensible dummy guide something even nontechies enjoy
"a zombie movie in every sense of the word -- mindless , lifeless , meandering , loud , painful , obnoxious .",1,zombie movie every sense word mindless lifeless meandering loud painful obnoxious
-lrb- moore 's -rrb- better at fingering problems than finding solutions .,1,lrb moore rrb better fingering problem finding solution
... fuses the events of her life with the imagery in her paintings so vividly that the artist 's work may take on a striking new significance for anyone who sees the film .,1,fuse event life imagery painting vividly artist work may take striking new significance anyone see film
is there a group of more self-absorbed women than the mother and daughters featured in this film ?,1,group selfabsorbed woman mother daughter featured film
"there are cheesy backdrops , ridiculous action sequences , and many tired jokes about men in heels .",1,cheesy backdrop ridiculous action sequence many tired joke men heel
"-lrb- green is -rrb- the comedy equivalent of saddam hussein , and i 'm just about ready to go to the u.n. and ask permission for a preemptive strike .",1,lrb green rrb comedy equivalent saddam hussein ready go un ask permission preemptive strike
"once again , director chris columbus takes a hat-in-hand approach to rowling that stifles creativity and allows the film to drag on for nearly three hours .",1,director chris columbus take hatinhand approach rowling stifle creativity allows film drag nearly three hour
"some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and , really , nobody in the viewing audience cares .",1,character die others nt film pretend living learned sort lesson really nobody viewing audience care
brave and sweetly rendered love story .,1,brave sweetly rendered love story
"for decades we 've marveled at disney 's rendering of water , snow , flames and shadows in a hand-drawn animated world .",0,decade marveled disney rendering water snow flame shadow handdrawn animated world
the level of acting elevates the material above pat inspirational status and gives it a sturdiness and solidity that we 've long associated with washington the actor .,1,level acting elevates material pat inspirational status give sturdiness solidity long associated washington actor
"while tattoo borrows heavily from both seven and the silence of the lambs , it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in .",1,tattoo borrows heavily seven silence lamb manages maintain level sophisticated intrigue humanscale character suck audience
"long before it 's over , you 'll be thinking of 51 ways to leave this loser .",1,long thinking way leave loser
"the film belongs to the marvelous verdu , a sexy slip of an earth mother who mourns her tragedies in private and embraces life in public",1,film belongs marvelous verdu sexy slip earth mother mourns tragedy private embrace life public
a thought-provoking and often-funny drama about isolation .,1,thoughtprovoking oftenfunny drama isolation
"bittersweet comedy\/drama full of life , hand gestures , and some really adorable italian guys .",1,bittersweet comedydrama full life hand gesture really adorable italian guy
"the town has kind of an authentic feel , but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial .",1,town kind authentic feel one people stand everybody else background seems manufactured artificial
this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .,1,sincerely crafted picture deserves emerge traffic jam holiday movie
remarkable for its intelligence and intensity .,1,remarkable intelligence intensity
a complete waste of time .,1,complete waste time
should be required viewing for civics classes and would-be public servants alike .,1,required viewing civics class wouldbe public servant alike
an intimate contemplation of two marvelously messy lives .,1,intimate contemplation two marvelously messy life
you never know where changing lanes is going to take you but it 's a heck of a ride .,1,never know changing lane going take heck ride
"resident evil is n't a product of its cinematic predecessors so much as an mtv , sugar hysteria , and playstation cocktail .",1,resident evil nt product cinematic predecessor much mtv sugar hysteria playstation cocktail
that works .,1,work
"what 's most memorable about circuit is that it 's shot on digital video , whose tiny camera enables shafer to navigate spaces both large ... and small ... with considerable aplomb .",1,memorable circuit shot digital video whose tiny camera enables shafer navigate space large small considerable aplomb
"the journey is worth your time , especially if you have ellen pompeo sitting next to you for the ride .",1,journey worth time especially ellen pompeo sitting next ride
"a classy , sprightly spin on film .",1,classy sprightly spin film
"frankly , it 's kind of insulting , both to men and women .",1,frankly kind insulting men woman
"in addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry .",1,addition overcooked hamfisted direction actor reaching back row dialogue sound like horrible poetry
watching austin powers in goldmember is like binging on cotton candy .,1,watching austin power goldmember like binging cotton candy
"nothing overly original , mind you , but solidly entertaining .",1,nothing overly original mind solidly entertaining
"it ends up being neither , and fails at both endeavors .",1,end neither fails endeavor
so putrid it is not worth the price of the match that should be used to burn every print of the film .,1,putrid worth price match used burn every print film
"one of the finest , most humane and important holocaust movies ever made .",1,one finest humane important holocaust movie ever made
"this fascinating look at israel in ferment feels as immediate as the latest news footage from gaza and , because of its heightened , well-shaped dramas , twice as powerful .",1,fascinating look israel ferment feel immediate latest news footage gaza heightened wellshaped drama twice powerful
"if villainous vampires are your cup of blood , blade 2 is definitely a cut above the rest .",1,villainous vampire cup blood blade definitely cut rest
"if swimfan does catch on , it may be because teens are looking for something to make them laugh .",1,swimfan catch may teen looking something make laugh
"a shame that stealing harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable .",0,shame stealing harvard busy getting way anything frustrating boring forgettable
refreshing .,1,refreshing
a clichéd and shallow cautionary tale about the hard-partying lives of gay men .,1,clichd shallow cautionary tale hardpartying life gay men
"by the end of it all i sort of loved the people onscreen , even though i could not stand them .",1,end sort loved people onscreen even though could stand
"the waterlogged script plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter .",1,waterlogged script plumb uncharted depth stupidity incoherence subsophomoric sexual banter
... a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical needs .,1,rich intelligent film us pulpy core conceit probe question attraction interdependence heart accomodates practical need
"while the film is competent , it 's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires .",1,film competent also uninspired lacking real talent wit elevate beyond formula level classic romantic comedy aspires
the locale ... remains far more interesting than the story at hand .,1,locale remains far interesting story hand
"releasing a film with the word ` dog ' in its title in january lends itself to easy jokes and insults , and snow dogs deserves every single one of them .",1,releasing film word dog title january lends easy joke insult snow dog deserves every single one
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life .",1,alternating facetious comic parody pulp melodrama smartaleck movie toss around intriguing question difference human android life
"director todd solondz has made a movie about critical reaction to his two previous movies , and about his responsibility to the characters that he creates .",1,director todd solondz made movie critical reaction two previous movie responsibility character creates
shankman ... and screenwriter karen janszen bungle their way through the narrative as if it were a series of bible parables and not an actual story .,1,shankman screenwriter karen janszen bungle way narrative series bible parable actual story
cinematic poo .,1,cinematic poo
"she 's as rude and profane as ever , always hilarious and , most of the time , absolutely right in her stinging social observations .",1,rude profane ever always hilarious time absolutely right stinging social observation
"i ca n't begin to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents ...",1,ca nt begin tell tedious resolutely unamusing thoroughly unrewarding reckless squandering four fine acting talent
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichés and borrowed images that it might more accurately be titled mr. chips off the old block .,1,buries interesting storyline morality choice make underneath mountain clichs borrowed image might accurately titled mr chip old block
in an art film !,1,art film
"presents a side of contemporary chinese life that many outsiders will be surprised to know exists , and does so with an artistry that also smacks of revelation .",1,present side contemporary chinese life many outsider surprised know exists artistry also smack revelation
"after watching it , you can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history .",1,watching love player brings fore gifted nononsense human being stillinestimable contribution made shared history
promises is a compelling piece that demonstrates just how well children can be trained to live out and carry on their parents ' anguish .,1,promise compelling piece demonstrates well child trained live carry parent anguish
"it is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",1,remarkable epic scope startling intimacy achieves despite breadth
robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favour of an altogether darker side .,1,robin williams thankfully ditched saccharine sentimentality bicentennial man favour altogether darker side
the sweetest thing is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance .,1,sweetest thing expressly idiot nt care kind sewage shovel mental gullet simulate sustenance
"the film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama , ' but the emphasis on the latter leaves blue crush waterlogged .",1,film would enjoyable balance shifted favor waterbound action landbased drama emphasis latter leaf blue crush waterlogged
tackles the difficult subject of grief and loss with such life-embracing spirit that the theme does n't drag an audience down .,1,tackle difficult subject grief loss lifeembracing spirit theme nt drag audience
"a disaster of a drama , saved only by its winged assailants .",1,disaster drama saved winged assailant
playfully profound ... and crazier than michael jackson on the top floor of a skyscraper nursery surrounded by open windows .,1,playfully profound crazier michael jackson top floor skyscraper nursery surrounded open window
the story itself is actually quite vapid .,1,story actually quite vapid
"this orange has some juice , but it 's far from fresh-squeezed .",1,orange juice far freshsqueezed
"he does n't , however , deliver nearly enough of the show 's trademark style and flash .",1,nt however deliver nearly enough show trademark style flash
no amount of good intentions is able to overcome the triviality of the story .,1,amount good intention able overcome triviality story
the film has several strong performances .,1,film several strong performance
"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro 's right-hand goombah .",1,nothing seems funny analyze even joe viterelli de niro righthand goombah
the wild thornberrys movie has all the sibling rivalry and general family chaos to which anyone can relate .,1,wild thornberrys movie sibling rivalry general family chaos anyone relate
"too predictably , in fact .",1,predictably fact
"what makes how i killed my father compelling , besides its terrific performances , is fontaine 's willingness to wander into the dark areas of parent-child relationships without flinching .",1,make killed father compelling besides terrific performance fontaine willingness wander dark area parentchild relationship without flinching
"it is that rare combination of bad writing , bad direction and bad acting -- the trifecta of badness .",0,rare combination bad writing bad direction bad acting trifecta badness
japanese director shohei imamura 's latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime .,1,japanese director shohei imamura latest film odd ultimately satisfying blend sophomoric sublime
one of the more glaring signs of this movie 's servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from ms. spears .,1,one glaring sign movie servitude superstar way skirt around scene might required genuine acting m spear
"jaw-droppingly superficial , straining to get by on humor that is not even as daring as john ritter 's glory days on three 's company .",1,jawdroppingly superficial straining get humor even daring john ritter glory day three company
"not too fancy , not too filling , not too fluffy , but definitely tasty and sweet .",1,fancy filling fluffy definitely tasty sweet
a true pleasure .,1,true pleasure
"lacks the spirit of the previous two , and makes all those jokes about hos and even more unmentionable subjects seem like mere splashing around in the muck .",0,lack spirit previous two make joke ho even unmentionable subject seem like mere splashing around muck
"if you go into the theater expecting a scary , action-packed chiller , you might soon be looking for a sign .",1,go theater expecting scary actionpacked chiller might soon looking sign
a movie of technical skill and rare depth of intellect and feeling .,1,movie technical skill rare depth intellect feeling
i loved this film .,1,loved film
"if this is cinema , i pledge allegiance to cagney and lacey .",1,cinema pledge allegiance cagney lacey
could this be the first major studio production shot on video tape instead of film ?,1,could first major studio production shot video tape instead film
"for the most part , it works beautifully as a movie without sacrificing the integrity of the opera .",1,part work beautifully movie without sacrificing integrity opera
it 's loud and boring ; watching it is like being trapped at a bad rock concert .,0,loud boring watching like trapped bad rock concert
probably the best case for christianity since chesterton and lewis .,1,probably best case christianity since chesterton lewis
i suspect that you 'll be as bored watching morvern callar as the characters are in it .,1,suspect bored watching morvern callar character
this ill-conceived and expensive project winds up looking like a bunch of talented thesps slumming it .,1,illconceived expensive project wind looking like bunch talented thesps slumming
"this is one of mr. chabrol 's subtlest works , but also one of his most uncanny .",1,one mr chabrol subtlest work also one uncanny
sparse but oddly compelling .,1,sparse oddly compelling
"despite the opulent lushness of every scene , the characters never seem to match the power of their surroundings .",1,despite opulent lushness every scene character never seem match power surroundings
"it 's a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today .",1,powerful though flawed movie guaranteed put lump throat reaffirming washington possibly best actor working movie today
the movie is virtually without context -- journalistic or historical .,1,movie virtually without context journalistic historical
-lrb- the film 's -rrb- taste for `` shock humor '' will wear thin on all but those weaned on the comedy of tom green and the farrelly brothers .,1,lrb film rrb taste shock humor wear thin weaned comedy tom green farrelly brother
"as a remake , it 's a pale imitation .",1,remake pale imitation
"lan yu is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery .",1,lan yu genuine love story full traditional layer awakening ripening separation recovery
"-lrb- washington 's -rrb- strong hand , keen eye , sweet spirit and good taste are reflected in almost every scene .",1,lrb washington rrb strong hand keen eye sweet spirit good taste reflected almost every scene
only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley 's flopping dolphin-gasm .,1,sexy dangerous actress role reminds every turn elizabeth berkley flopping dolphingasm
i 'm left slightly disappointed that it did n't .,1,left slightly disappointed nt
"this is lightweight filmmaking , to be sure , but it 's pleasant enough -- and oozing with attractive men .",1,lightweight filmmaking sure pleasant enough oozing attractive men
i was impressed by how many tit-for-tat retaliatory responses the filmmakers allow before pulling the plug on the conspirators and averting an american-russian armageddon .,1,impressed many titfortat retaliatory response filmmaker allow pulling plug conspirator averting americanrussian armageddon
"entertaining enough , but nothing new",1,entertaining enough nothing new
"pure cinematic intoxication , a wildly inventive mixture of comedy and melodrama , tastelessness and swooning elegance .",1,pure cinematic intoxication wildly inventive mixture comedy melodrama tastelessness swooning elegance
changing lanes tries for more .,1,changing lane try
"the predominantly amateur cast is painful to watch , so stilted and unconvincing are the performances .",1,predominantly amateur cast painful watch stilted unconvincing performance
the film exudes the urbane sweetness that woody allen seems to have bitterly forsaken .,1,film exudes urbane sweetness woody allen seems bitterly forsaken
"ludicrous , but director carl franklin adds enough flourishes and freak-outs to make it entertaining .",1,ludicrous director carl franklin add enough flourish freakouts make entertaining
"for his first attempt at film noir , spielberg presents a fascinating but flawed look at the near future .",1,first attempt film noir spielberg present fascinating flawed look near future
a lively and engaging examination of how similar obsessions can dominate a family .,1,lively engaging examination similar obsession dominate family
certainly the performances are worthwhile .,1,certainly performance worthwhile
"fifty years after the fact , the world 's political situation seems little different , and -lrb- director phillip -rrb- noyce brings out the allegory with remarkable skill .",1,fifty year fact world political situation seems little different lrb director phillip rrb noyce brings allegory remarkable skill
"i do n't feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it 's a dish that 's best served cold .",1,nt feel least bit ashamed admitting enjoyment came expense seeing justice served even dish best served cold
"the acting in pauline and paulette is good all round , but what really sets the film apart is debrauwer 's refusal to push the easy emotional buttons .",1,acting pauline paulette good round really set film apart debrauwer refusal push easy emotional button
"spectacularly beautiful , not to mention mysterious , sensual , emotionally intense , and replete with virtuoso throat-singing .",1,spectacularly beautiful mention mysterious sensual emotionally intense replete virtuoso throatsinging
a weird and wonderful comedy .,1,weird wonderful comedy
smart and taut .,1,smart taut
"a non-britney person might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine .",1,nonbritney person might survive screening little harm done except maybe last minute maudlin afterschool special imagine
this is one of the outstanding thrillers of recent years .,1,one outstanding thriller recent year
"in the end , the film is less the cheap thriller you 'd expect than it is a fairly revealing study of its two main characters -- damaged-goods people whose orbits will inevitably and dangerously collide .",1,end film less cheap thriller expect fairly revealing study two main character damagedgoods people whose orbit inevitably dangerously collide
"a searing , epic treatment of a nationwide blight that seems to be , horrifyingly , ever on the rise .",1,searing epic treatment nationwide blight seems horrifyingly ever rise
"every individual will see the movie through the prism of his or her own beliefs and prejudices , but the one thing most will take away is the sense that peace is possible .",1,every individual see movie prism belief prejudice one thing take away sense peace possible
an extraordinary dramatic experience .,1,extraordinary dramatic experience
"piccoli 's performance is amazing , yes , but the symbols of loss and denial and life-at-arm 's - length in the film seem irritatingly transparent .",1,piccoli performance amazing yes symbol loss denial lifeatarm length film seem irritatingly transparent
no film could possibly be more contemptuous of the single female population .,1,film could possibly contemptuous single female population
"it 's clear why deuces wild , which was shot two years ago , has been gathering dust on mgm 's shelf .",1,clear deuce wild shot two year ago gathering dust mgm shelf
drowning 's too good for this sucker .,1,drowning good sucker
"if i could have looked into my future and saw how bad this movie was , i would go back and choose to skip it .",0,could looked future saw bad movie would go back choose skip
as inept as big-screen remakes of the avengers and the wild wild west .,1,inept bigscreen remake avenger wild wild west
everything -- even life on an aircraft carrier -- is sentimentalized .,1,everything even life aircraft carrier sentimentalized
"a bittersweet film , simple in form but rich with human events .",1,bittersweet film simple form rich human event
a classic fairy tale that perfectly captures the wonders and worries of childhood in a way that few movies have ever approached .,1,classic fairy tale perfectly capture wonder worry childhood way movie ever approached
"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft .",1,directed purpose finesse england roger mitchell handily make move pleasing relatively lightweight commercial fare notting hill commercial fare real thematic heft
"it 's an odd show , pregnant with moods , stillborn except as a harsh conceptual exercise .",1,odd show pregnant mood stillborn except harsh conceptual exercise
cletis is playful but highly studied and dependent for its success on a patient viewer .,1,cletis playful highly studied dependent success patient viewer
would benigni 's italian pinocchio have been any easier to sit through than this hastily dubbed disaster ?,1,would benigni italian pinocchio easier sit hastily dubbed disaster
this is a fudged opportunity of gigantic proportions -- a lunar mission with no signs of life .,1,fudged opportunity gigantic proportion lunar mission sign life
"there 's an admirable rigor to jimmy 's relentless anger , and to the script 's refusal of a happy ending , but as those monologues stretch on and on , you realize there 's no place for this story to go but down .",1,admirable rigor jimmy relentless anger script refusal happy ending monologue stretch realize place story go
"i 'll stay with the stage versions , however , which bite cleaner , and deeper .",1,stay stage version however bite cleaner deeper
"it 's a movie that ends with truckzilla , for cryin ' out loud .",1,movie end truckzilla cryin loud
chalk it up as the worst kind of hubristic folly .,0,chalk worst kind hubristic folly
"the story , once it gets rolling , is nothing short of a great one .",1,story get rolling nothing short great one
they just do n't work in concert .,1,nt work concert
an unintentionally surreal kid 's picture ... in which actors in bad bear suits enact a sort of inter-species parody of a vh1 behind the music episode .,0,unintentionally surreal kid picture actor bad bear suit enact sort interspecies parody vh behind music episode
both damning and damned compelling .,1,damning damned compelling
it 's not original enough .,1,original enough
"apart from anything else , this is one of the best-sustained ideas i have ever seen on the screen .",1,apart anything else one bestsustained idea ever seen screen
the adventures of pluto nash is a whole lot of nada .,1,adventure pluto nash whole lot nada
"a meditation on faith and madness , frailty is blood-curdling stuff .",1,meditation faith madness frailty bloodcurdling stuff
he 's one of the few ` cool ' actors who never seems aware of his own coolness .,1,one cool actor never seems aware coolness
this 100-minute movie only has about 25 minutes of decent material .,1,minute movie minute decent material
a serious movie with serious ideas .,1,serious movie serious idea
"attal 's hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it 's a wonder that he could n't have brought something fresher to the proceedings simply by accident .",1,attal hangups surrounding infidelity oldfashioned dare say outdated wonder could nt brought something fresher proceeding simply accident
"plot , characters , drama , emotions , ideas -- all are irrelevant to the experience of seeing the scorpion king .",1,plot character drama emotion idea irrelevant experience seeing scorpion king
"stripped almost entirely of such tools as nudity , profanity and violence , labute does manage to make a few points about modern man and his problematic quest for human connection .",1,stripped almost entirely tool nudity profanity violence labute manage make point modern man problematic quest human connection
"it 's the cute frissons of discovery and humor between chaplin and kidman that keep this nicely wound clock not just ticking , but humming .",1,cute frisson discovery humor chaplin kidman keep nicely wound clock ticking humming
"leave it to the french to truly capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy melodrama .",1,leave french truly capture terrifying angst modern working man without turning film cheap thriller dumb comedy sappy melodrama
beautiful to watch and holds a certain charm .,1,beautiful watch hold certain charm
campbell scott finds the ideal outlet for his flick-knife diction in the role of roger swanson .,1,campbell scott find ideal outlet flickknife diction role roger swanson
then you 'd do well to check this one out because it 's straight up twin peaks action ...,1,well check one straight twin peak action
"that neither protagonist has a distinguishable condition hardly matters because both are just actory concoctions , defined by childlike dimness and a handful of quirks .",1,neither protagonist distinguishable condition hardly matter actory concoction defined childlike dimness handful quirk
"land , people and narrative flow together in a stark portrait of motherhood deferred and desire explored .",1,land people narrative flow together stark portrait motherhood deferred desire explored
"barney 's ideas about creation and identity do n't really seem all that profound , at least by way of what can be gleaned from this three-hour endurance test built around an hour 's worth of actual material .",1,barney idea creation identity nt really seem profound least way gleaned threehour endurance test built around hour worth actual material
"build some robots , haul 'em to the theatre with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year .",0,build robot haul em theatre late show put mystery science theatre tribute almost certainly going go worst killer website movie year
"cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of miramax chief harvey weinstein 's bluff personal style to the stylistic rigors of denmark 's dogma movement .",1,cineasts revel visual injokes film verbal poke everything like miramax chief harvey weinstein bluff personal style stylistic rigor denmark dogma movement
bottom-rung new jack city wannabe .,1,bottomrung new jack city wannabe
"despite the fact that this film was n't as bad as i thought it was going to be , it 's still not a good movie",0,despite fact film nt bad thought going still good movie
"but this time , the old mib label stands for milder is n't better .",1,time old mib label stand milder nt better
"forget the misleading title , what 's with the unexplained baboon cameo ?",1,forget misleading title unexplained baboon cameo
"it 's clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long .",1,clotted heavyhanded symbolism dimestore psychology endless scenic shot make minute seem twice long
"what 's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",1,surprising traditional thriller moderately successful completely satisfying exactly genteel unsurprising execution turn
yet another entry in the sentimental oh-those-wacky-brits genre that was ushered in by the full monty and is still straining to produce another smash hit .,1,yet another entry sentimental ohthosewackybrits genre ushered full monty still straining produce another smash hit
every conceivable mistake a director could make in filming opera has been perpetrated here .,1,every conceivable mistake director could make filming opera perpetrated
the film 's desire to be liked sometimes undermines the possibility for an exploration of the thornier aspects of the nature\/nurture argument in regards to homosexuality .,1,film desire liked sometimes undermines possibility exploration thornier aspect naturenurture argument regard homosexuality
"a standard police-oriented drama that , were it not for de niro 's participation , would have likely wound up a tnt original .",1,standard policeoriented drama de niro participation would likely wound tnt original
"with notorious c.h.o. cho proves she has the stuff to stand tall with pryor , carlin and murphy .",1,notorious cho cho prof stuff stand tall pryor carlin murphy
"watching this film , one is left with the inescapable conclusion that hitchens ' obsession with kissinger is , at bottom , a sophisticated flower child 's desire to purge the world of the tooth and claw of human power .",1,watching film one left inescapable conclusion hitchens obsession kissinger bottom sophisticated flower child desire purge world tooth claw human power
"e.t. works because its flabbergasting principals , 14-year-old robert macnaughton , 6-year-old drew barrymore and 10-year-old henry thomas , convince us of the existence of the wise , wizened visitor from a faraway planet .",1,et work flabbergasting principal yearold robert macnaughton yearold drew barrymore yearold henry thomas convince u existence wise wizened visitor faraway planet
"yes , it 's as good as you remember .",1,yes good remember
"for veggietales fans , this is more appetizing than a side dish of asparagus .",1,veggietales fan appetizing side dish asparagus
"full of detail about the man and his country , and is well worth seeing .",1,full detail man country well worth seeing
little more than a well-mounted history lesson .,1,little wellmounted history lesson
"peter jackson and company once again dazzle and delight us , fulfilling practically every expectation either a longtime tolkien fan or a movie-going neophyte could want .",1,peter jackson company dazzle delight u fulfilling practically every expectation either longtime tolkien fan moviegoing neophyte could want
"this tale has been told and retold ; the races and rackets change , but the song remains the same .",1,tale told retold race racket change song remains
a joyous occasion,1,joyous occasion
-lrb- `` take care of my cat '' -rrb- is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals .,1,lrb take care cat rrb honestly nice little film take u examination young adult life urban south korea heart mind five principal
novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama .,1,novak contemplates heartland overwhelmed lack purpose seek excitement manufactured high drama
one-of-a-kind near-masterpiece .,1,oneofakind nearmasterpiece
"trying to figure out the rules of the country bear universe -- when are bears bears and when are they like humans , only hairier -- would tax einstein 's brain .",1,trying figure rule country bear universe bear bear like human hairier would tax einstein brain
"a thoroughly engaging , surprisingly touching british comedy .",1,thoroughly engaging surprisingly touching british comedy
you have no affinity for most of the characters .,1,affinity character
"its salient points are simultaneously buried , drowned and smothered in the excesses of writer-director roger avary .",1,salient point simultaneously buried drowned smothered excess writerdirector roger avary
"whether or not you buy mr. broomfield 's findings , the film acquires an undeniable entertainment value as the slight , pale mr. broomfield continues to force himself on people and into situations that would make lesser men run for cover .",1,whether buy mr broomfield finding film acquires undeniable entertainment value slight pale mr broomfield continues force people situation would make lesser men run cover
"a relentless , bombastic and ultimately empty world war ii action flick .",1,relentless bombastic ultimately empty world war ii action flick
charlotte sometimes is a brilliant movie .,1,charlotte sometimes brilliant movie
move over bond ; this girl deserves a sequel .,1,move bond girl deserves sequel
"an exceptionally dreary and overwrought bit of work , every bit as imperious as katzenberg 's the prince of egypt from 1998 .",1,exceptionally dreary overwrought bit work every bit imperious katzenberg prince egypt
"for a story set at sea , ghost ship is pretty landbound , with its leaden acting , dull exposition and telegraphed ` surprises . '",0,story set sea ghost ship pretty landbound leaden acting dull exposition telegraphed surprise
"congrats disney on a job well done , i enjoyed it just as much !",1,congrats disney job well done enjoyed much
a muddy psychological thriller rife with miscalculations .,1,muddy psychological thriller rife miscalculation
is it possible for a documentary to be utterly entranced by its subject and still show virtually no understanding of it ?,1,possible documentary utterly entranced subject still show virtually understanding
"it 's a piece of handiwork that shows its indie tatters and self-conscious seams in places , but has some quietly moving moments and an intelligent subtlety .",1,piece handiwork show indie tatter selfconscious seam place quietly moving moment intelligent subtlety
